2026-01-12 20:35:32 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:32 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:32 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:35:35 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:35:35 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:36:14 - User: admin | Activity: LOGIN_SUCCESS
2026-01-12 20:36:15 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 20:36:15 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 20:36:16 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:20 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:27 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:30 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:39 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 20:36:48 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 20:36:53 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 21:59:40 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 21:59:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 21:59:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 21:59:44 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 21:59:44 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 21:59:46 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 21:59:59 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 22:00:02 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:00:03 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 22:00:06 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:00:09 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 22:00:12 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:40 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:00:41 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:00:43 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:00:45 - User: admin | Activity: VIEWED_QUERY - device_query
2026-01-12 22:01:03 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:01:46 - User: admin | Activity: VIEWED_QUERIES_LIST
2026-01-12 22:01:46 - User: admin | Activity: VIEWED_USERS_LIST
2026-01-12 22:01:47 - User: admin | Activity: VIEWED_QUERY - building_query
2026-01-12 22:01:56 - User: admin | Activity: LOADED_DEFAULT_QUERY - building_query
